"cp: RPM (rpm)","cp: Cp","eta: RPM (rpm)","eta: eta","thrust one blade: RPM (rpm)","thrust one blade: Thrust (One Blade) (N)","power one blade: RPM (rpm)","power one blade: Power (One Blade) (W)","ct: RPM (rpm)","ct: Ct","J: RPM (rpm)","J: J","torque: RPM (rpm)","torque: Torque (One Blade) (N-m)"
6200.0,0.014012902066269923,6200.0,0.45491262138398747,6200.0,0.11231861408358268,6200.0,5.678734777819757,6200.0,0.0065470386130146475,6200.0,0.9736686140038935,6200.0,0.008746439132882615
6450.0,0.01982725288059381,6450.0,0.614042250905148,6450.0,0.2415237610340963,6450.0,9.04668448400029,6450.0,0.013008213462878851,6450.0,0.9359295204378512,6450.0,0.01339371678345487
6700.0,0.024897782310608157,6700.0,0.687147845850026,6700.0,0.38041217895893253,6700.0,12.73303870323865,6700.0,0.018988156266174474,6700.0,0.9010067771379313,6700.0,0.018147994479410578
6900.0,0.028529175585502536,6900.0,0.72068012321841,6900.0,0.49934142474498655,6900.0,15.936130884040043,6900.0,0.02350054837428764,6900.0,0.8748906386701651,6900.0,0.02205490438221207
7100.0,0.03185100924838255,7100.0,0.7426992593132014,7100.0,0.6259348221341754,7100.0,19.38402486411385,7100.0,0.02782221339795347,7100.0,0.850245831947062,7100.0,0.026070958091323298
7300.0,0.03483026551018808,7300.0,0.7564423196778572,7300.0,0.7577367687760252,7300.0,23.039358360159618,7300.0,0.031860501139652594,7300.0,0.8269514255923479,7300.0,0.030138310427547832
7450.0,0.03676032113707093,7450.0,0.763721180064907,7450.0,0.8582220093091811,7450.0,25.84595887786375,7450.0,0.03464715221539908,7450.0,0.8103013968891463,7450.0,0.033128956625733195
7600.0,0.03862932718975942,7600.0,0.7682380237096531,7600.0,0.9630966067779678,7600.0,28.833800556928782,7600.0,0.0373614458502751,7600.0,0.794308606161071,7600.0,0.036229278053376786
7900.0,0.04005037587953156,7900.0,0.7645584878252333,7900.0,1.1161242314012225,7900.0,33.576054325481635,7900.0,0.04007204822633547,7900.0,0.7641449882055873,7900.0,0.040585784927258846
8050.0,0.041373852009310715,8050.0,0.7659394574728546,8050.0,1.222141404462433,8050.0,36.6990524229941,8050.0,0.04225843599305848,8050.0,0.7499062617172845,8050.0,0.04353417838440826
8150.0,0.042220084830633504,8150.0,0.7661078111121983,8150.0,1.2944788354070922,8150.0,38.86269371296462,8150.0,0.04366804411110862,8150.0,0.7407049578925325,8150.0,0.04553513967816915
8300.0,0.04530401421782175,8300.0,0.7708910003139309,8300.0,1.4763084673205669,8300.0,44.046557469921765,8300.0,0.04801809124380284,8300.0,0.7273187237137517,8300.0,0.05067634227122381
