"cp: RPM (rpm)","cp: Cp","eta: RPM (rpm)","eta: eta","thrust one blade: RPM (rpm)","thrust one blade: Thrust (One Blade) (N)","power one blade: RPM (rpm)","power one blade: Power (One Blade) (W)","ct: RPM (rpm)","ct: Ct","J: RPM (rpm)","J: J","torque: RPM (rpm)","torque: Torque (One Blade) (N-m)"
6200.0,0.014634291509794572,6200.0,0.4380567045341374,6200.0,0.112952917421483,6200.0,5.930549798243426,6200.0,0.006584015772687607,6200.0,0.9736686140038935,6200.0,0.009134286925578229
6450.0,0.019269996443655773,6450.0,0.5726960691683878,6450.0,0.21892989022396933,6450.0,8.792425417662082,6450.0,0.011791327204860069,6450.0,0.9359295204378512,6450.0,0.013017283413839467
6700.0,0.025358038468424667,6700.0,0.6684652561840868,6700.0,0.37691014917410365,6700.0,12.968412869340018,6700.0,0.018813363130260306,6700.0,0.9010067771379313,6700.0,0.018483465781003103
6900.0,0.02899127496707508,6900.0,0.7027379654651295,6900.0,0.4947961151001021,6900.0,16.194244806127596,6900.0,0.02328664713748666,6900.0,0.8748906386701651,6900.0,0.022412122700308335
7100.0,0.032331102133302723,7100.0,0.7252145853564603,7100.0,0.6204112019691367,7100.0,19.676186791356887,7100.0,0.027576714812029043,7100.0,0.850245831947062,7100.0,0.026463907513047107
7300.0,0.03531142162351497,7300.0,0.7388102541286702,7300.0,0.7502975002842177,7300.0,23.35761098347124,7300.0,0.031547730103526316,7300.0,0.8269514255923479,7300.0,0.03055462394660543
7450.0,0.037419648659359504,7450.0,0.746272285523133,7450.0,0.8536545157558596,7450.0,26.309504242973997,7450.0,0.034462789815865494,7450.0,0.8103013968891463,7450.0,0.033723122017985274
7600.0,0.03929190955863026,7600.0,0.7503269394904556,7600.0,0.9567754317397219,7600.0,29.328328455003476,7600.0,0.037116276995095863,7600.0,0.794308606161071,7600.0,0.03685064562818283
7900.0,0.041249064162219795,7900.0,0.7498108660620899,7900.0,1.1273563338622592,7900.0,34.58098148805013,7900.0,0.040475298537721395,7900.0,0.7641449882055873,7900.0,0.04180051246171521
8050.0,0.04406509209014077,8050.0,0.7526337611039661,8050.0,1.2790265321510004,8050.0,39.086221957839285,8050.0,0.04422536213692595,8050.0,0.7499062617172845,8050.0,0.04636595352579206
8150.0,0.04356599071614857,8150.0,0.7465249724440998,8150.0,1.301591087065205,8150.0,40.101263999901064,8150.0,0.04390830609721858,8150.0,0.7407049578925325,8150.0,0.046986363606017115
8300.0,0.046135909297956974,8300.0,0.7513571537605075,8300.0,1.4653188486564523,8300.0,44.85527734768984,8300.0,0.04766073574906163,8300.0,0.7273187237137517,8300.0,0.05160678877332114
