J;Ct;Cp;Eta
1.364046788717761194e+00;-7.594899371008588529e-02;7.648581301314007208e-02;-1.354473161693270145e+00
9.753651329566124240e-01;9.951491223865737172e-05;1.053072656125821592e-02;9.217158478306029801e-03
9.353476079791754882e-01;8.172517583313660197e-03;1.811384182832857792e-02;4.220057150308866301e-01
9.039715387025032411e-01;1.459362875824182088e-02;2.450726822240678268e-02;5.382984722784983633e-01
8.779005462342334143e-01;2.044194883492265677e-02;3.024991715904618364e-02;5.932577584895676326e-01
8.533322938202561048e-01;2.614604606098655873e-02;3.562934188038803518e-02;6.262048155268575833e-01
8.320307967183506737e-01;3.160352569091309793e-02;4.086419416731293386e-02;6.434754727343335867e-01
8.146340200509650797e-01;3.679914449582704500e-02;4.571775075031846158e-02;6.557154392566679757e-01
7.979610760058621910e-01;4.294593334074529173e-02;5.166635499839874329e-02;6.632785142230224196e-01
7.718557342428470358e-01;5.273471939014112708e-02;5.949900554570782679e-02;6.841054767495047262e-01
7.581541697358843424e-01;5.714315880332366399e-02;6.326837234477820926e-02;6.847548389980873118e-01
7.471803772266645272e-01;6.230681272741328547e-02;6.954045693166939490e-02;6.694581814900106842e-01
7.353434834826697575e-01;6.601373001106028426e-02;7.186634864062818595e-02;6.754589192607854953e-01
