J;Ct;Cp;Eta;Ct_error;Cp_error;Eta_error
1.393027247980553440e+00;-8.094808541086975784e-02;8.489569055464638025e-02;-1.328252210595006755e+00;6.812053157605192340e-04;2.870249388925517941e-04;3.795170504696798036e-02
9.714276602061951982e-01;2.115548898292597506e-03;1.237630615753057377e-02;1.660513799644258159e-01;1.398336162172443466e-04;7.899244372556669849e-05;3.943453348040704826e-02
9.358018919023269877e-01;8.962612029076340303e-03;1.896524787196766232e-02;4.422420075823669805e-01;1.429481880019588366e-04;8.225574333707440678e-05;2.964652356528518079e-02
9.056233264265328708e-01;1.537371125003427798e-02;2.531547006797313717e-02;5.499716767807887319e-01;1.594525302086350303e-04;8.852305198338051044e-05;2.352466217930906239e-02
8.759050824371465982e-01;2.133819133316551542e-02;3.117867241968114503e-02;5.994556146315573875e-01;1.831272668309183059e-04;9.625795337229327124e-05;1.960177507109345935e-02
8.524653444886249876e-01;2.720509982482124597e-02;3.682583010228738379e-02;6.297591861363953658e-01;2.115000612698337071e-04;1.050607738922339202e-04;1.699993055838693728e-02
8.325436073085419331e-01;3.243604014986758988e-02;4.200383237966359012e-02;6.429036671960869365e-01;2.395427960233141910e-04;1.141262390018268181e-04;1.528690738503818078e-02
8.153393996662199328e-01;3.786852655434688047e-02;4.722312131890353537e-02;6.538259404446836731e-01;2.706045652841537145e-04;1.239945986864767423e-04;1.413025099355549700e-02
8.009047153254065243e-01;4.359691122384245360e-02;5.267389909768958184e-02;6.628894456444389682e-01;3.044530752436579776e-04;1.347184094127887527e-04;1.323898626511859841e-02
7.726464596385913541e-01;5.429942795968503710e-02;6.096489425930558259e-02;6.881708117954712378e-01;3.693764477113346215e-04;1.512135102731471451e-04;1.255740318748899999e-02
7.594741484441199786e-01;5.892961189937019617e-02;6.467436706503890131e-02;6.920132170819527362e-01;3.975973107592219798e-04;1.586319347429920000e-04;1.224605214638361909e-02
7.489544425395192606e-01;6.362186699544167268e-02;7.072206444106056422e-02;6.737625705002665555e-01;4.264114890106535517e-04;1.714674120172807160e-04;1.152890855627671483e-02
7.377188164523283964e-01;6.699651032409918716e-02;7.302261581395734502e-02;6.768394387384266686e-01;4.468994631072228767e-04;1.759050266067466086e-04;1.140650959814585100e-02
