J;Ct;Cp;Eta
1.329840464410973366e+00;-7.270548316343351802e-02;7.233738692174029872e-02;-1.336607494543411434e+00
9.662858399304219414e-01;3.922980663498308661e-04;1.135788329001841644e-02;3.337523875413162672e-02
9.284249966849540403e-01;6.981275824016545430e-03;1.753666298893215986e-02;3.696023004981056070e-01
8.999982690133206953e-01;1.241729004844543439e-02;2.312205548963853705e-02;4.833281173659154661e-01
8.699168586034595751e-01;1.777757349329672082e-02;2.824217242218700352e-02;5.475857400662113017e-01
8.447714237884152988e-01;2.306178730600529428e-02;3.328617133691682412e-02;5.852862649899533976e-01
8.240335633254032288e-01;2.763622478290743770e-02;3.767551691488837950e-02;6.044555894526205675e-01
8.033434347106479523e-01;3.253567236164703336e-02;4.207110120944732023e-02;6.212653825128906515e-01
7.870523968539969717e-01;3.945517073676251679e-02;4.838649261321691791e-02;6.417759382743588592e-01
7.655688968489743340e-01;5.115891200851217790e-02;5.800047160708411004e-02;6.752647132884134207e-01
7.568792923198647271e-01;5.736487211455131713e-02;6.298207477418205080e-02;6.893752542410590545e-01
