J;Ct;Cp;Eta
1.324758920579539367e+00;-7.065721801131767676e-02;6.775812685949864078e-02;-1.381439898094003915e+00
9.862552578688261740e-01;-2.606542079572077546e-03;8.238570003333833824e-03;-3.120342280024367421e-01
9.440684724456674948e-01;4.985767507995954653e-03;1.611611422394127954e-02;2.920620845594804060e-01
9.055966475769134938e-01;1.169786514948097100e-02;2.286556983082046676e-02;4.632968931698239201e-01
8.764538340791714344e-01;1.692591558358198800e-02;2.807430514191668405e-02;5.284114258052134971e-01
8.511766261431530367e-01;2.213188360118481524e-02;3.285396110438923434e-02;5.733902817378304650e-01
8.305192996921227921e-01;2.666895079636802390e-02;3.697061583067789287e-02;5.990995238046357141e-01
8.097689849857624411e-01;3.143028058585495277e-02;4.123359183224353797e-02;6.172459219990455992e-01
7.904124263500709180e-01;3.794012675073392404e-02;4.699727196387210038e-02;6.380869864984839435e-01
7.702564917104062214e-01;5.032271856465966170e-02;5.717007781049281839e-02;6.780015375076283712e-01
7.585559945319532149e-01;5.617114337797628199e-02;6.173179198171430127e-02;6.902271287005409262e-01
