J;Ct;Cp;Eta;Ct_error;Cp_error;Eta_error
1.324366413739313852e+00;-7.035876727237887207e-02;6.838298589260925764e-02;-1.362631173110419480e+00;5.888914698043102788e-04;2.358526782576369487e-04;4.185714344759568911e-02
9.887305874856584520e-01;-2.460905564651505017e-03;8.156513382650130983e-03;-2.983103797586177941e-01;1.448530590786332247e-04;7.789761313016238065e-05;6.841182721075743378e-02
9.441606390539706295e-01;4.909655294558566523e-03;1.554332695097838946e-02;2.982310862445919364e-01;1.354466333680216350e-04;7.870893637334609521e-05;3.185864197270682485e-02
9.083739088876721102e-01;1.155529832340270249e-02;2.224921156091061794e-02;4.717709424289762699e-01;1.447404518342914985e-04;8.386649468727559893e-05;2.447603808977578260e-02
8.807901093465353437e-01;1.667852399431217839e-02;2.716854889775897550e-02;5.407090024561738151e-01;1.599575981739801160e-04;8.894826653364754543e-05;2.051579112930474943e-02
8.524896535764251437e-01;2.224264465326466003e-02;3.232272415075535671e-02;5.866344787848580822e-01;1.837206486936574206e-04;9.611921076380832156e-05;1.777527757422439625e-02
8.308278472766021938e-01;2.679814556060473515e-02;3.654205245759049175e-02;6.092883155088753000e-01;2.059744329672455964e-04;1.026371575485274739e-04;1.599855264250387571e-02
8.113428898997355754e-01;3.161356115758615082e-02;4.095112590443093781e-02;6.263426829698641729e-01;2.317721461364925177e-04;1.101979658330213099e-04;1.465880821458298566e-02
7.922117679759460573e-01;3.869125466690895992e-02;4.727970769637212384e-02;6.483049231548335678e-01;2.728714620165301197e-04;1.223315535340225647e-04;1.353034240163736648e-02
7.718160808052049182e-01;5.108349533551900107e-02;5.761662203351458622e-02;6.843001511049572327e-01;3.488911554850362409e-04;1.437044058153376380e-04;1.271226192361004335e-02
7.604208672170904570e-01;5.758541262214331852e-02;6.255213706767404069e-02;7.000424199385788526e-01;3.892539662780094786e-04;1.539543923538276332e-04;1.248159625677171432e-02
7.498354077181973443e-01;6.274540489311100644e-02;6.626645694283397892e-02;7.099930859598656552e-01;4.212791559964384667e-04;1.615935167219835565e-04;1.232945062356740305e-02
7.337464664006713155e-01;6.564579128153498477e-02;6.916581316026074178e-02;6.964042665889870198e-01;4.381627472929004903e-04;1.670531716530166853e-04;1.184416765753031411e-02
