J;Ct;Cp;Eta
1.369127700158630834e+00;-7.873682052412037113e-02;8.164579699837719307e-02;-1.320346741230714827e+00
9.701467911444001668e-01;4.572670509643327139e-04;1.130680725885755550e-02;3.923443214631514020e-02
9.305153576471002497e-01;7.027865955694236749e-03;1.723374553080347232e-02;3.794611677171385589e-01
8.988521916271748902e-01;1.249520350903843280e-02;2.278899970587801305e-02;4.928404582861019012e-01
8.724411375381837530e-01;1.792151505353372851e-02;2.806126294838317062e-02;5.571904232704371074e-01
8.481391936070410420e-01;2.311920027915753684e-02;3.303175589992082134e-02;5.936196653006676760e-01
8.236644321193625773e-01;2.783765361193207485e-02;3.746275937317685573e-02;6.120447489040148348e-01
8.040301656333296298e-01;3.284725765478750670e-02;4.209573529720669893e-02;6.273838864273723059e-01
7.871122065713037630e-01;3.978241956867777790e-02;4.847538132122299059e-02;6.459614591157047947e-01
7.667895523074761410e-01;5.157041215364504411e-02;5.805193865319129704e-02;6.811771349074777770e-01
7.553451707654230685e-01;5.796888545696626122e-02;6.338648992474346655e-02;6.907862816912501147e-01
