Name	DP	U	T	Pa	rho	nu	RawThr	RawLoadL	RawLoadR	Thrust	LoadL	LoadR	Torque	RPM

StandardRun	0.199839	0.580000	22.98	100960	1.188	1.539191E-5	-0.311622340	2.27736923	0.981436959	0.000282958563	-0.000202474801	-0.000254020604	-0.0000305304127	267215.316
StandardRun	318.110603	23.138000	22.91	100960	1.188	1.538547E-5	1.30249726	2.14562036	0.885502716	1.61440256	-0.131951343	-0.0961882641	-0.0152579769	4359.54565
StandardRun	318.518412	23.154000	22.94	100960	1.188	1.538823E-5	-0.398786745	2.29258519	1.03516397	-0.0868814461	0.0150134878	0.0534729858	0.00458037535	6255.91138
StandardRun	318.297607	23.146000	22.97	100970	1.188	1.538947E-5	-0.708266834	2.31420982	1.05806503	-0.396361536	0.0366381169	0.0763740537	0.00755825397	6491.82874
StandardRun	319.383821	23.187000	22.98	100960	1.188	1.539191E-5	-1.04043203	2.33806493	1.08284286	-0.728526727	0.0604932192	0.101151884	0.0108108245	6720.04198
StandardRun	318.441130	23.152000	22.99	100970	1.188	1.539131E-5	-1.38959414	2.36345572	1.10798635	-1.07768884	0.0858840185	0.126295367	0.0141905573	6937.55584
StandardRun	320.000247	23.209000	23.00	100970	1.188	1.539223E-5	-1.76965366	2.38939938	1.13574876	-1.45774836	0.111827669	0.154057780	0.0177824189	7145.86357
StandardRun	320.094884	23.214000	23.04	100970	1.188	1.539592E-5	-2.13490524	2.41562817	1.16173002	-1.82299994	0.138056465	0.180039038	0.0212742272	7318.43153
StandardRun	319.764036	23.202000	23.04	100970	1.188	1.539592E-5	-2.52869880	2.44270789	1.18904196	-2.21679350	0.165136183	0.207350979	0.0249119414	7468.99240
StandardRun	321.154544	23.252000	23.03	100970	1.188	1.539499E-5	-2.96826874	2.47229622	1.21941759	-2.65636344	0.194724512	0.237726610	0.0289223310	7619.99152
StandardRun	320.376667	23.225000	23.06	100970	1.188	1.539776E-5	-3.85855183	2.52377590	1.27203934	-3.54664653	0.246204195	0.290348358	0.0358846347	7889.50813
StandardRun	320.321491	23.223000	23.06	100970	1.188	1.539776E-5	-4.29496742	2.55056010	1.29771639	-3.98306212	0.272988390	0.316025415	0.0393932433	8025.65249
StandardRun	321.774379	23.276000	23.07	100970	1.188	1.539868E-5	-4.75397276	2.59385233	1.33075009	-4.44206746	0.316280620	0.349059110	0.0444979211	8156.95322
StandardRun	321.603564	23.271000	23.10	100970	1.188	1.540144E-5	-5.13108808	2.61441162	1.35261494	-4.81918278	0.336839916	0.370923956	0.0473352478	8279.40657
StandardRun	0.215965	0.603000	23.06	100970	1.188	1.539776E-5	-0.313599733	2.28132021	0.986427022	-0.00169443439	0.00374850643	0.00473604193	0.000567446595	266979.855
