Name	DP	U	T	Pa	rho	nu	RawThr	RawLoadL	RawLoadR	Thrust	LoadL	LoadR	Torque	RPM

StandardRun	0.021969	0.192000	21.74	100860	1.192	1.529302E-5	-0.181965597	2.24390224	0.933844816	0.00130091461	-0.00134182278	-0.000966232383	-0.000154362729	630394.633
StandardRun	316.288409	23.037000	21.73	100860	1.192	1.529210E-5	1.39926579	2.12468017	0.843217627	1.58253230	-0.120563899	-0.0915934217	-0.0141890816	4546.75343
StandardRun	317.504897	23.084000	21.80	100860	1.192	1.529854E-5	-0.199505529	2.25916017	0.984245545	-0.0162390167	0.0139161061	0.0494344965	0.00423688830	6270.18673
StandardRun	318.001373	23.104000	21.85	100860	1.191	1.530314E-5	-0.496583300	2.27966565	1.00643823	-0.313316788	0.0344215857	0.0716271786	0.00709254135	6531.53676
StandardRun	318.366388	23.120000	21.92	100860	1.191	1.530957E-5	-0.777130928	2.30113607	1.02792263	-0.593864416	0.0558920014	0.0931115791	0.00996535946	6742.50349
StandardRun	318.047907	23.110000	21.96	100860	1.191	1.531325E-5	-1.09252015	2.32405725	1.05063265	-0.909253634	0.0788131809	0.115821600	0.0130171741	6972.63967
StandardRun	318.180715	23.116000	21.99	100860	1.191	1.531601E-5	-1.43470087	2.34751401	1.07592326	-1.25143435	0.102269949	0.141112211	0.0162773989	7182.05118
StandardRun	318.892002	23.143000	22.02	100860	1.191	1.531877E-5	-1.76304571	2.37109946	1.09914849	-1.57977920	0.125855391	0.164337442	0.0194080967	7371.39661
StandardRun	319.217902	23.156000	22.05	100860	1.191	1.532153E-5	-2.14234816	2.39573503	1.12565949	-1.95908165	0.150490960	0.190848438	0.0228287789	7565.49444
StandardRun	320.665003	23.210000	22.09	100860	1.191	1.532521E-5	-2.66991892	2.43067477	1.16028880	-2.48665241	0.185430708	0.225477755	0.0274815580	7740.09906
StandardRun	320.063309	23.189000	22.11	100860	1.190	1.532705E-5	-3.58202375	2.48382022	1.21544144	-3.39875724	0.238576153	0.280630392	0.0347245337	7950.10316
StandardRun	322.021201	23.261000	22.14	100860	1.190	1.532981E-5	-4.10657910	2.51591885	1.24454459	-3.92331259	0.270674787	0.309733538	0.0388177088	8066.34480
StandardRun	0.200250	0.580000	22.08	100860	1.191	1.532429E-5	-0.181103336	2.25078233	0.938877286	0.00216317612	0.00553825996	0.00406623694	0.000642348753	273947.950
