Name	DP	U	T	Pa	rho	nu	RawThr	RawLoadL	RawLoadR	Thrust	LoadL	LoadR	Torque	RPM

StandardRun	0.199805	0.580000	23.06	100970	1.188	1.539776E-5	-0.308489645	2.27607726	0.983130599	0.000405996923	-0.000616236489	-0.000458822319	-0.0000718999331	280560.360
StandardRun	317.597082	23.117000	22.88	100970	1.189	1.538118E-5	1.23639529	2.16009088	0.896061045	1.54529093	-0.116602610	-0.0875283768	-0.0136522804	4596.12726
StandardRun	318.186360	23.140000	22.92	100970	1.188	1.538487E-5	-0.219038517	2.27845063	1.02321282	0.0898571243	0.00175713724	0.0396234002	0.00276753034	6181.20105
StandardRun	318.808424	23.163000	22.93	100970	1.188	1.538579E-5	-0.539669127	2.30274649	1.04842757	-0.230773486	0.0260529995	0.0648381484	0.00607879997	6446.11605
StandardRun	318.880236	23.166000	22.94	100970	1.188	1.538671E-5	-0.890712471	2.32847215	1.07445336	-0.581816829	0.0517786548	0.0908639398	0.00953993673	6728.63785
StandardRun	319.453800	23.188000	22.97	100970	1.188	1.538947E-5	-1.21030537	2.35167281	1.09701550	-0.901409731	0.0749793196	0.113426074	0.0126005527	6959.07144
StandardRun	320.066214	23.211000	22.99	100970	1.188	1.539131E-5	-1.54962933	2.37454609	1.12086123	-1.24073369	0.0978525943	0.137271805	0.0157251199	7170.51958
StandardRun	318.743798	23.163000	22.99	100970	1.188	1.539131E-5	-1.87917925	2.39758142	1.14357639	-1.57028361	0.120887926	0.159986969	0.0187849129	7354.19050
StandardRun	319.480612	23.189000	23.00	100980	1.188	1.539071E-5	-2.26123329	2.42284462	1.17094171	-1.95233765	0.146151123	0.187352286	0.0223047080	7542.73136
StandardRun	321.158725	23.251000	23.03	100980	1.188	1.539347E-5	-2.77200966	2.45529938	1.20611100	-2.46311402	0.178605890	0.222521575	0.0268274048	7723.25827
StandardRun	320.512829	23.228000	23.04	100980	1.188	1.539439E-5	-3.71806255	2.51194516	1.26184669	-3.40916691	0.235251669	0.278257266	0.0343434776	7924.52258
StandardRun	320.242868	23.219000	23.06	100980	1.188	1.539623E-5	-4.25099889	2.54357095	1.29109836	-3.94210325	0.266877460	0.307508942	0.0384149625	8034.59975
StandardRun	320.452758	23.227000	23.07	100980	1.188	1.539715E-5	-4.64308131	2.57969815	1.32090943	-4.33418566	0.303004656	0.337320006	0.0428249134	8178.35757
StandardRun	320.668652	23.236000	23.10	100980	1.188	1.539992E-5	-5.06790630	2.59938045	1.34345913	-4.75901066	0.322686956	0.359869707	0.0456493896	8312.07099
StandardRun	0.006061	0.101000	23.03	100990	1.188	1.539195E-5	-0.308208905	2.28338908	0.989084405	0.000686736877	0.00669558186	0.00549498333	0.000815304999	269721.352
