Name	DP	U	T	Pa	rho	nu	RawThr	RawLoadL	RawLoadR	Thrust	LoadL	LoadR	Torque	RPM

StandardRun	0.021935	0.192000	22.32	100900	1.190	1.534029E-5	-0.178364349	2.24858995	0.937028356	0.000696493450	-0.000262116955	-0.000265573502	-0.0000352919378	288492.199
StandardRun	318.455078	23.130000	22.21	100900	1.190	1.533017E-5	1.38062619	2.13433015	0.850280092	1.55968703	-0.114521918	-0.0870138367	-0.0134787113	4582.61956
StandardRun	317.597256	23.100000	22.24	100900	1.190	1.533293E-5	-0.0755195930	2.25291719	0.977325933	0.103541250	0.00406512186	0.0400320043	0.00294921580	6147.48776
StandardRun	319.371420	23.166000	22.28	100900	1.190	1.533661E-5	-0.396446309	2.27786444	1.00296382	-0.217385466	0.0290123695	0.0656698884	0.00633234940	6440.54445
StandardRun	317.951216	23.116000	22.32	100900	1.190	1.534029E-5	-0.730967632	2.30300751	1.02850050	-0.551906789	0.0541554448	0.0912065728	0.00972181173	6699.66217
StandardRun	319.135211	23.159000	22.32	100900	1.190	1.534029E-5	-1.03479142	2.32571322	1.05168377	-0.855730580	0.0768611500	0.114389837	0.0127908660	6935.30846
StandardRun	319.295727	23.166000	22.35	100900	1.190	1.534305E-5	-1.36615309	2.34852961	1.07506171	-1.18709225	0.0996775394	0.137767783	0.0158803432	7143.42332
StandardRun	319.997102	23.193000	22.39	100900	1.190	1.534673E-5	-1.68505641	2.37073015	1.09672524	-1.50599557	0.121878083	0.159431312	0.0188139724	7329.63289
StandardRun	319.517354	23.176000	22.40	100900	1.190	1.534766E-5	-2.04332011	2.39345655	1.12223770	-1.86425927	0.144604483	0.184943766	0.0220401869	7511.94445
StandardRun	319.058802	23.159000	22.42	100910	1.190	1.534797E-5	-2.53755189	2.42536453	1.15443839	-2.35849104	0.176512464	0.217144456	0.0263277748	7690.26079
StandardRun	320.388674	23.208000	22.44	100910	1.190	1.534982E-5	-3.48711155	2.48066263	1.21187513	-3.30805071	0.231810562	0.274581203	0.0338674813	7908.19506
StandardRun	320.372909	23.209000	22.48	100910	1.190	1.535350E-5	-3.98668609	2.51071051	1.23928032	-3.80762525	0.261858443	0.301986391	0.0377099425	8030.52259
StandardRun	0.000000	0.000000	22.41	100910	1.190	1.534705E-5	-0.181094458	2.25248874	0.940093752	-0.00203361464	0.00363667388	0.00279982288	0.000430472903	276288.036
