Name	DP	U	T	Pa	rho	nu	RawThr RawLoadL	RawLoadR	Thrust	LoadL	LoadR	Torque	RPM
0g	0.000000	0.000000	21.15	100750	1.193	1.525546E-5	-0.215628313	2.19532075	0.991702150	-0.0000202641314	-0.00000936460983	0.0000852217872	0.00000507332802	956.589908
100g	0.000000	0.000000	21.19	100750	1.193	1.525913E-5	-1.37756249	2.19240026	0.996554467	-1.16195444	-0.00292986033	0.00493753853	0.000134273518	1103.38067
z100g	0.000000	0.000000	21.18	100750	1.193	1.525821E-5	-0.218219421	2.19541178	0.991761274	-0.00261137190	0.0000816630982	0.000144345891	0.0000151154812	299169.876
200g	0.000000	0.000000	21.19	100760	1.193	1.525762E-5	-2.53586385	2.19178945	0.995854264	-2.32025580	-0.00354066897	0.00423733545	0.0000465930546	300385.285
z200g	0.000000	0.000000	21.19	100760	1.193	1.525762E-5	-0.220799194	2.19547007	0.991833210	-0.00519114462	0.000139951559	0.000216281084	0.0000238248392	1320.37260
500g	0.000000	0.000000	21.18	100760	1.193	1.525670E-5	-5.95757873	2.18931706	1.00804897	-5.74197068	-0.00601305477	0.0164320439	0.000696821992	2818.07635
z500g	0.000000	0.000000	21.19	100760	1.193	1.525762E-5	-0.226571640	2.19553636	0.991608185	-0.0109635906	0.000206239225	-0.00000874376173	0.0000132084966	300379.464
500g	0.000000	0.000000	21.18	100760	1.193	1.525670E-5	-5.92496136	2.18960524	1.00803373	-5.70935331	-0.00572487863	0.0164168028	0.000715075890	299548.194
z500g	0.000000	0.000000	21.19	100760	1.193	1.525762E-5	-0.228117215	2.19547522	0.991738617	-0.0125091659	0.000145106759	0.000121688877	0.0000178432921	6130.70403
200g	0.000000	0.000000	21.18	100770	1.193	1.525519E-5	-2.53844058	2.19152493	0.997181820	-2.32283253	-0.00380518475	0.00556489149	0.000117689187	299847.686
z200g	0.000000	0.000000	21.19	100760	1.193	1.525762E-5	-0.225808097	2.19554724	0.991861594	-0.0102000479	0.000217118348	0.000244665397	0.0000308840969	1057.74539
100g	0.005965	0.100000	21.19	100770	1.193	1.525610E-5	-1.36962626	2.19271662	0.996660507	-1.15401821	-0.00261349648	0.00504357890	0.000162523912	1396.82811
z100g	0.000000	0.000000	21.18	100770	1.193	1.525519E-5	-0.227076106	2.19575826	0.991729853	-0.0114680565	0.000428145855	0.000112924831	0.0000361868075	299589.278
