Name	DP	U	T	Pa	rho	nu	RawThr RawLoadL	RawLoadR	Thrust	LoadL	LoadR	Torque	RPM
noWeight	0.000000	0.000000	21.18	100770	1.193	1.525519E-5	-0.185165948	2.91367251	0.316111397	-0.185165948	2.91367251	0.316111397	0.216007948	2005.09822
100g0mm	0.000000	0.000000	21.20	100770	1.193	1.525702E-5	-0.206156528	3.13164655	0.0984593869	-0.206156528	3.13164655	0.0984593869	0.216029485	2121.52484
100g50mm	0.000000	0.000000	21.19	100780	1.193	1.525459E-5	-0.211942270	3.24014946	0.208208917	-0.211942270	3.24014946	0.208208917	0.230626209	2283.35752
noWeight	0.000000	0.000000	21.18	100780	1.193	1.525367E-5	-0.202821907	2.90905798	0.310932888	-0.202821907	2.90905798	0.310932888	0.215352989	1317.76959
100g100mm	0.013966	0.153000	21.19	100780	1.193	1.525459E-5	-0.214514987	3.34892112	0.318278874	-0.214514987	3.34892112	0.318278874	0.245262336	2436.95184
noWeight	0.013965	0.153000	21.20	100780	1.193	1.525551E-5	-0.202073447	2.90874985	0.310476405	-0.202073447	2.90874985	0.310476405	0.215301852	2093.59148
100g200mm	0.005966	0.100000	21.21	100780	1.193	1.525643E-5	-0.217920282	3.54826572	0.519327832	-0.217920282	3.54826572	0.519327832	0.272040657	296107.517
noWeight	0.000000	0.000000	21.19	100780	1.193	1.525459E-5	-0.199173600	2.89144295	0.292618316	-0.199173600	2.89144295	0.292618316	0.212950018	298508.394
100g0mm	0.000000	0.000000	21.21	100790	1.193	1.525492E-5	-0.205936539	3.11310544	0.0791308815	-0.205936539	3.11310544	0.0791308815	0.213496765	2613.61829
100g-50mm	0.000000	0.000000	21.19	100790	1.193	1.525308E-5	-0.203193960	3.00430948	-0.0309038551	-0.203193960	3.00430948	-0.0309038551	0.198861368	1248.69212
noWeight	0.000000	0.000000	21.20	100790	1.193	1.525400E-5	-0.202092172	2.89215460	0.293557196	-0.202092172	2.89215460	0.293557196	0.213060405	297347.473
100g-100mm	0.000000	0.000000	21.21	100790	1.193	1.525492E-5	-0.195812323	2.89202108	0.137904772	-0.195812323	2.89202108	0.137904772	0.202641441	1220.31078
noWeight	0.000000	0.000000	21.20	100790	1.193	1.525400E-5	-0.197561642	2.89200278	0.293468726	-0.197561642	2.89200278	0.293468726	0.213044334	1079.27109
100-200mm	0.000000	0.000000	21.24	100790	1.193	1.525767E-5	-0.188307309	2.68995302	-0.348244904	-0.188307309	2.68995302	-0.348244904	0.156613439	1425.97057
noWeight	0.000000	0.000000	21.19	100790	1.193	1.525308E-5	-0.199390606	2.90618766	0.308326124	-0.199390606	2.90618766	0.308326124	0.214986682	1293.55865
100g0mm	0.000000	0.000000	21.20	100790	1.193	1.525400E-5	-0.204959920	3.12788243	0.0949480922	-0.204959920	3.12788243	0.0949480922	0.215542905	968.233406
