Name	DP	U	T	Pa	rho	nu	RawThr	RawLoadL	RawLoadR	Thrust	LoadL	LoadR	Torque	RPM
StandardRun	0.000000	0.000000	20.89	102240	1.212	1.500959E-5	-0.166019943	2.08129846	0.813569550	0.000584681628	-0.0000434093442	-0.0000248100411	-0.00000456251249	322625.219
StandardRun	176.264545	17.055000	20.83	102240	1.212	1.500416E-5	1.24719922	2.00832353	0.755716546	1.41380384	-0.0730183456	-0.0578778139	-0.00875433515	3818.64885
StandardRun	177.293533	17.105000	20.84	102240	1.212	1.500506E-5	-0.295856891	2.12907437	0.877291801	-0.129252266	0.0477324972	0.0636974411	0.00745243427	5826.10693
StandardRun	177.290129	17.106000	20.88	102240	1.212	1.500868E-5	-0.667079322	2.15503748	0.902916542	-0.500474697	0.0736956018	0.0893221818	0.0109026294	6112.53056
StandardRun	177.713599	17.127000	20.90	102240	1.212	1.501049E-5	-1.03762942	2.17946416	0.928397227	-0.871024794	0.0981222885	0.114802867	0.0142404344	6373.17706
StandardRun	177.458619	17.115000	20.91	102240	1.212	1.501140E-5	-1.26206969	2.19371652	0.943318270	-1.09546507	0.112374649	0.129723909	0.0161915516	6537.41803
StandardRun	178.208535	17.152000	20.94	102240	1.212	1.501412E-5	-1.43126897	2.20612729	0.953897338	-1.26466434	0.124785419	0.140302978	0.0177291120	6652.52265
StandardRun	178.036277	17.144000	20.95	102240	1.211	1.501502E-5	-1.58380090	2.21608492	0.964707050	-1.41719627	0.134743049	0.151112689	0.0191180318	6764.54055
StandardRun	177.890083	17.139000	21.02	102240	1.211	1.502136E-5	-1.68613321	2.22342337	0.972094285	-1.51952858	0.142081498	0.158499925	0.0201028855	6835.99320
StandardRun	177.738758	17.132000	21.03	102240	1.211	1.502226E-5	-2.07983248	2.24863450	0.997533388	-1.91322785	0.167292625	0.183939027	0.0234903729	7100.14212
StandardRun	177.969678	17.144000	21.06	102240	1.211	1.502498E-5	-2.39240883	2.26879479	1.01768855	-2.22580420	0.187452918	0.204094185	0.0261866703	7304.12322
StandardRun	178.393809	17.165000	21.08	102240	1.211	1.502679E-5	-2.71171186	2.29181612	1.04054708	-2.54510724	0.210474246	0.226952722	0.0292551156	7501.91886
StandardRun	0.153804	0.504000	21.07	102240	1.211	1.502589E-5	-0.0944011217	2.10852377	0.838058333	0.0722035030	0.0271818984	0.0244639728	0.00345407586	279343.700
