J;Ct;Cp;Eta
1.128096831080875662e+00;-7.896187193229155243e-02;4.528168887933051168e-02;-1.967166855026301286e+00
7.293400599735173628e-01;7.166999637023939961e-03;1.595283488066132072e-02;3.276646429427925167e-01
7.006828455144471501e-01;1.381959529013848838e-02;2.002502408222465655e-02;4.835526445307800070e-01
6.781027054869148696e-01;1.904212800943979114e-02;2.309505337011101903e-02;5.591032120384838988e-01
6.675029007946515769e-01;2.148903011845341646e-02;2.438623523282848135e-02;5.882002614336128143e-01
6.526339092785483631e-01;2.433337941843407778e-02;2.618354589709952565e-02;6.065178718811340408e-01
6.434267724545907896e-01;2.636784283440337870e-02;2.736729784134128013e-02;6.199287964009886354e-01
6.367281812729028712e-01;2.748911059355810954e-02;2.819374072379934176e-02;6.208147958979759462e-01
6.126254121486174320e-01;3.237527280451540923e-02;3.116875574912700980e-02;6.363396410472913489e-01
5.964531695406448675e-01;3.545555930580619741e-02;3.308766433230159176e-02;6.391379129514210833e-01
5.793295980922387178e-01;3.844751380388466283e-02;3.487082895747517508e-02;6.387511678260670012e-01
