Name	DP	U	T	Pa	rho	nu	RawThr RawLoadL	RawLoadR	Thrust	LoadL	LoadR	Torque	RPM
0g	0.060206	0.320000	20.60	99120	1.176	1.545498E-5	-0.163995350	1.97466947	0.794537818	0.000484212661	-0.000173638743	0.0000559625325	-0.00000787018496	3297.64019
100g	0.044137	0.274000	20.60	99110	1.176	1.545654E-5	-1.31354006	1.97574853	0.799860348	-1.14906049	0.000905416195	0.00537849280	0.000420267834	3297.64019
z100g	0.000000	0.000000	20.61	99110	1.176	1.545747E-5	-0.166255828	1.97475976	0.794895248	-0.00177626533	-0.0000833550202	0.000413392634	0.0000220729156	3297.64019
200g	0.000000	0.000000	20.60	99110	1.176	1.545654E-5	-2.46812491	1.97345202	0.803208840	-2.30364535	-0.00139109130	0.00872698453	0.000490624539	3297.64019
z200g	0.021898	0.193000	20.60	99110	1.176	1.545654E-5	-0.169951379	1.97519722	0.794450620	-0.00547181665	0.000354105091	-0.0000312355777	0.0000215935131	3297.64019
500g	0.022124	0.194000	20.63	99110	1.176	1.545934E-5	-5.69951727	1.97890087	0.825004990	-5.53503771	0.00405776281	0.0305231348	0.00231277043	3297.64019
z500g	0.005997	0.101000	20.62	99110	1.176	1.545840E-5	-0.181629796	1.97541648	0.795070771	-0.0171502335	0.000573366593	0.000588915786	0.0000777334455	3297.64019
500g	0.005995	0.101000	20.66	99100	1.175	1.546370E-5	-5.92538535	1.97920211	0.826928796	-5.76090579	0.00435899675	0.0324469407	0.00246158109	3297.64019
z500g	0.005996	0.101000	20.63	99110	1.176	1.545934E-5	-0.184895043	1.97560756	0.795173135	-0.0204154808	0.000764451123	0.000691279879	0.0000973592894	3297.64019
200g	0.005996	0.101000	20.63	99100	1.176	1.546090E-5	-2.48496771	1.97382240	0.803849680	-2.32048815	-0.00102070949	0.00936782439	0.000558255045	3297.64019
z200g	0.000000	0.000000	20.63	99100	1.176	1.546090E-5	-0.183428090	1.97567720	0.795117521	-0.0189485273	0.000834088869	0.000635666270	0.0000982972237	3297.64019
100g	0.022122	0.194000	20.62	99100	1.176	1.545996E-5	-1.33771947	1.97678459	0.800611685	-1.17323991	0.00194147730	0.00612982966	0.000539809009	3297.64019
z100g	0.000000	0.000000	20.63	99110	1.176	1.545934E-5	-0.181194407	1.97587928	0.795104669	-0.0167148443	0.00103617040	0.000622813637	0.000110952853	3297.64019
