Name	DP	U	T	Pa	rho	nu	RawThr RawLoadL	RawLoadR	Thrust	LoadL	LoadR	Torque	RPM
noWeight	0.013941	0.154000	20.63	99110	1.176	1.545934E-5	-0.162928985	2.67501791	0.112377045	-0.162928985	2.67501791	0.112377045	0.186420974	3297.64019
100g	0.013939	0.154000	20.64	99100	1.176	1.546183E-5	-0.160982765	2.88712562	-0.111194047	-0.160982765	2.88712562	-0.111194047	0.185654304	3297.64019
z100g	0.000000	0.000000	20.63	99100	1.176	1.546090E-5	-0.161329216	2.67485807	0.112264216	-0.161329216	2.67485807	0.112264216	0.186402739	3297.64019
100g50mm	0.000000	0.000000	20.66	99100	1.175	1.546370E-5	-0.166406222	3.02327173	0.0264831143	-0.166406222	3.02327173	0.0264831143	0.203967604	3297.64019
z100g50mm	0.013941	0.154000	20.64	99110	1.176	1.546027E-5	-0.163278992	2.67593773	0.113590518	-0.163278992	2.67593773	0.113590518	0.186563650	3297.64019
100g100mm	0.000000	0.000000	20.67	99100	1.175	1.546463E-5	-0.171625092	3.15744299	0.162302458	-0.171625092	3.15744299	0.162302458	0.222024575	3297.64019
z100g100mm	0.000000	0.000000	20.63	99100	1.176	1.546090E-5	-0.163610296	2.67682841	0.112788131	-0.163610296	2.67682841	0.112788131	0.186569555	3297.64019
100g200mm	0.000000	0.000000	20.65	99100	1.175	1.546276E-5	-0.180655950	3.42757018	0.436191587	-0.180655950	3.42757018	0.436191587	0.258408387	3297.64019
z100g200mm	0.000000	0.000000	20.63	99110	1.176	1.545934E-5	-0.164615296	2.67722870	0.113194047	-0.164615296	2.67722870	0.113194047	0.186623474	3297.64019
100g0mm	0.005995	0.101000	20.63	99090	1.175	1.546246E-5	-0.171372178	2.87985524	-0.103236994	-0.171372178	2.87985524	-0.103236994	0.185700229	3297.64019
z100g0mm	0.005995	0.101000	20.63	99090	1.175	1.546246E-5	-0.163677213	2.67603369	0.113178121	-0.163677213	2.67603369	0.113178121	0.186542486	3297.64019
0g0mm	0.000000	0.000000	20.65	99100	1.175	1.546276E-5	-0.163378221	2.67589068	0.113241396	-0.163378221	2.67589068	0.113241396	0.186537153	3297.64019
100g-50mm	0.000000	0.000000	20.63	99100	1.176	1.546090E-5	-0.157159943	2.75072681	-0.250084171	-0.157159943	2.75072681	-0.250084171	0.167242980	3297.64019
z100g-50mm	0.000000	0.000000	20.65	99100	1.175	1.546276E-5	-0.162949816	2.67293004	0.109881887	-0.162949816	2.67293004	0.109881887	0.186114461	3297.64019
100g-100mm	0.000000	0.000000	20.68	99100	1.175	1.546556E-5	-0.153301126	2.60834244	-0.394437866	-0.153301126	2.60834244	-0.394437866	0.148065938	3297.64019
z100g-100mm	0.000000	0.000000	20.63	99100	1.176	1.546090E-5	-0.165329778	2.66729984	0.104247616	-0.165329778	2.66729984	0.104247616	0.185361094	3297.64019
100g-200mm	0.000000	0.000000	20.64	99100	1.176	1.546183E-5	-0.151533209	2.39974506	-0.571073503	-0.151533209	2.39974506	-0.571073503	0.122301553	3297.64019
z100g-200mm	0.037918	0.254000	20.65	99100	1.175	1.546276E-5	-0.163401027	2.70630512	0.142705580	-0.163401027	2.70630512	0.142705580	0.190541836	3297.64019
