Name	DP	U	T	Pa	rho	nu	RawThr	RawLoadL	RawLoadR	Thrust	LoadL	LoadR	Torque	RPM
StandardRun	177.827012	17.149000	21.41	102220	1.209	1.505963E-5	-0.128564125	2.14941798	0.897627820	-0.0396273630	0.0300245592	0.0476127942	0.00519238620	5780.47367
StandardRun	178.547555	17.184000	21.42	102220	1.209	1.506054E-5	-0.476082020	2.17391329	0.921166660	-0.387145258	0.0545198640	0.0711516346	0.00840490983	6058.98160
StandardRun	178.051777	17.161000	21.45	102220	1.209	1.506326E-5	-0.846117797	2.19794099	0.946465048	-0.757181035	0.0785475638	0.0964500220	0.0117038385	6301.47825
StandardRun	178.244636	17.170000	21.44	102220	1.209	1.506235E-5	-1.03149950	2.20974270	0.958411542	-0.942562742	0.0903492773	0.108396516	0.0132921187	6442.45108
StandardRun	178.116642	17.165000	21.48	102220	1.209	1.506598E-5	-1.16756995	2.21859656	0.967155642	-1.07863319	0.0992031367	0.117140616	0.0144690702	6533.09045
StandardRun	178.392597	17.178000	21.47	102220	1.209	1.506507E-5	-1.38032380	2.23213960	0.981451104	-1.29138704	0.112746179	0.131436078	0.0163309094	6684.51710
StandardRun	178.588227	17.188000	21.49	102220	1.209	1.506688E-5	-1.53442585	2.24218519	0.991470733	-1.44548909	0.122791772	0.141455707	0.0176728714	6781.71889
StandardRun	178.546669	17.186000	21.49	102220	1.209	1.506688E-5	-1.90741150	2.26593369	1.01626539	-1.81847474	0.146540268	0.166250364	0.0209194375	7037.21879
StandardRun	178.555321	17.187000	21.51	102220	1.209	1.506870E-5	-2.22907491	2.28534878	1.03636506	-2.14013815	0.165955360	0.186350035	0.0235621848	7249.26986
StandardRun	179.095956	17.213000	21.51	102220	1.209	1.506870E-5	-2.56789196	2.30638077	1.05675622	-2.47895520	0.186987353	0.206741199	0.0263325656	7461.39121
StandardRun	179.102038	17.213000	21.50	102220	1.209	1.506779E-5	-2.82823355	2.32230235	1.07323594	-2.73929679	0.202908926	0.223220915	0.0284995637	7622.38049

