J	Ct	Cp	Eta
1.137845643102122883e+00	-8.121893670481492022e-02	4.171608816763118510e-02	-2.215323088195698453e+00
7.299024666036909581e-01	7.074642613953201556e-03	1.887714720716772779e-02	2.735476413672989215e-01
7.002540682535935979e-01	1.368399199381725717e-02	2.274535400491154227e-02	4.212847626619036223e-01
6.789609128027980223e-01	1.860529261787516667e-02	2.581827804702070683e-02	4.892761026041154149e-01
6.656695471565232669e-01	2.098715051993969849e-02	2.717858648501973381e-02	5.140262533673082279e-01
6.529665775347515133e-01	2.375370298997944371e-02	2.907097022498232944e-02	5.335347951963065327e-01
6.427971806555865530e-01	2.591282985808145492e-02	3.048791571938928510e-02	5.463375761364220873e-01
6.373013149814407141e-01	2.715077028549075372e-02	3.144367074076974411e-02	5.502926725176202627e-01
6.134627560567190718e-01	3.159611973535157020e-02	3.398919792959038955e-02	5.702706705141852295e-01
5.955738702074726554e-01	3.462148763263994677e-02	3.587100243109851011e-02	5.748279106868569022e-01
5.805007884491273362e-01	3.747614928279432989e-02	3.775649991083793872e-02	5.761904376219626478e-01
5.658010537967759213e-01	3.840978078400282547e-02	3.923572367454001425e-02	5.538904959154352659e-01
